Name,Company,Level Audition,Re-Evaulation,Notes, Ranking Ep 2,Ranking Ep 3
ABE YURA,TNK Entertainment,B,B,-,34,22
AHN JUNWON,Company N/A,C,C,-,27,16
ANDY,Mystic Story,S,S,-,60,17
AOM,Company N/A,A,A,-,72,65
ASAKA KOTARO,TNK Entertainment,C,C,-,29,35
AYALON ADAM,Company N/A,B,B,-,36,42
BAEK JIHO,Company N/A,C,C,-,53,28
BING HUA,Company N/A,B,B,-,8,11
CHAE HEEJU,Command The-M Entertainment,A,A,-,42,45
CHO HYOJIN,Company N/A,S,S,-,59,62
CHOI BYUNGHOON,Command The-M Entertainment,B,B,-,75,80
CHOI JUYOUNG,Company N/A,B,B,-,66,50
FONG ATILLA,Independent,S,S,-,37,12
FUKUYAMA SOTA,Company N/A,B,B,-,12,20
HA SEOKHEE,Birdman,B,B,-,26,43
HOU GUANYI,TOV Entertainment,B,B,-,46,59
IM SIU,Independent,C,C,-,47,56
JANG HYEONSEOK,Company N/A,B,B,-,81,87
JANG INJAE,Company N/A,B,B,-,90,99
JANG YEOJUN,Mystic Story,A,A,-,15,6
JEON MINWOOK,PocketDol Studio,A,A,-,1,1
JEONG DEUNHAESOL,Company N/A,A,A,-,45,68
JUNG SEUNGWON,JG Entertainment,C,C,-,73,53
JUNG SEYUN,Company N/A,A,A,-,14,19
KANG HEEMIN,ICE Entertainment,B,B,-,88,79
KANG HYUNWOO,Independent,A,A,-,7,9
KANG JIMIN,Company N/A,S,S,-,49,54
KANG MINSEO,PocketDol Studio,S,S,-,6,10
KANG WANGSEOK,H.LAND Entertainment,B,B,-,55,57
KIM DANU,Company N/A,A,A,-,93,77
KIM DOHUN,Company N/A,S,S,-,91,29
KIM EUNHO,Company N/A,C,C,-,94,66
KIM HYUNJAE,Independent,B,B,-,64,26
KIM HYUNWOO,PocketDol Studio,A,A,-,10,15
KIM JEONGMIN,Company N/A,S,S,-,51,39
KIM JEONGYUN,Company N/A,C,C,-,78,92
KIM JIHWAN,Company N/A,B,B,-,70,94
KIM JIMIN,Biscuit Entertainment,B,B,-,70,61
KIM JOOHYUN,Company N/A,A,A,-,62,24
KIM JOONWOO,Company N/A,B,B,-,63,85
KIM MINJUN,Company N/A,B,B,-,99,72
KIM SIHUN,Company N/A,A,A,-,3,3
KIM SIYUL,Company N/A,B,B,-,74,74
KIM SUNGJUN,Company N/A,A,A,-,48,73
KIM SUNGMIN,M Directions,S,S,-,4,5
KIM TAESUNG,"K-tigers E&C, DR Music",C,C,-,87,98
KIM TAEYU,J Star Entertainment,S,S,-,54,58
KIM YOONSUE,KPLUS,C,C,-,96,76
KIM YOUNGHOON,Company N/A,B,B,-,39,47
KO MINSUNG,Company N/A,A,A,-,77,83
KWON YANGWOO,KPLUS,A,A,-,44,33
KWON YEUNG,Company N/A,B,B,-,71,88
KWON YONGHYUN,Company N/A,B,B,-,13,18
LEE DOKYEONG,Company N/A,C,C,-,67,86
LEE EUNSUH,Company N/A,B,B,-,57,64
LEE GUNWOO,Company N/A,B,B,-,43,60
LEE HANBIN,"PocketDol Studio, EZ Entertainment",A,A,-,20,30
LEE HYOBIN,Company N/A,C,C,-,69,90
LEE JIHOON,Company N/A,C,C,-,40,52
LEE JUCHAN,Company N/A,B,B,-,92,95
LEE JUNSEON,Company N/A,A,A,-,84,49
LEE NOYUL,Command The-M Entertainment,B,B,-,82,78
LEE YUJUN,Company N/A,C,C,-,65,70
LIM HYUNWOO,Company N/A,B,B,-,79,97
LIN WEI CHEN,Company N/A,C,C,-,89,89
LYNN LYNN,Company N/A,A,A,-,38,51
MA JING XIANG,Company N/A,A,A,-,5,4
MANABE JIN,DNA Entertainment,S,S,-,83,93
NAM JIWOON,Company N/A,A,A,-,11,13
OBAYASHI YUSEI,Company N/A,B,B,-,95,63
OH SEUNGCHAN,Company N/A,B,B,-,32,37
OH TAEHWAN,Company N/A,A,A,-,35,41
OH YOUNGWOONG,Company N/A,B,B,-,86,81
OK CHANGHYEON,Company N/A,A,A,-,52,46
PARK CHANYONG,Company N/A,C,C,-,58,67
PARK JUNSEO,PocketDol Studio,S,S,-,21,21
PARK JUNWOO,Company N/A,B,B,-,24,36
PETCH,Independent,B,B,-,41,44
SAKURADA KENSHIN,Company N/A,S,S,-,2,2
SANTA,KONGTHUP,A,A,-,33,31
SEO JINWON,Company N/A,S,S,-,56,38
SEO KYOUNGBAE,Company N/A,A,A,-,19,7
SHIN JAEWON,Company N/A,A,A,-,31,25
SONG HYUNGSEOK,Company N/A,B,B,-,25,40
SONG SEUNGHO,Hi-Hat Entertainment,A,A,-,9,14
SVIAT,Company N/A,C,C,-,22,28
TSUJII RYOMA,Company N/A,A,A,-,61,82
WOO HAJOON,Company N/A,B,B,-,23,27
WU CHEN YU,DNA Entertainment,A,A,-,68,75
YAMAGUCHI SATOSHI,Company N/A,B,B,-,80,91
YANG JUHO,Biscuit Entertainment,B,B,-,97,69
YEOM YECHAN,ChoCo Entertainment,A,A,-,50,55
YI CHEN,Independent,S,S,-,16,8
YOO HEEDO,FUTORE,C,C,-,30,32
YOO HYEONSEUNG,TNK Entertainment,B,B,-,76,71
YOO YOUNGSEO,PocketDol Studio,A,A,-,18,23
YOON JUHAN,Company N/A,C,C,-,98,84
YU JIAHN,First Entertainment,A,A,-,28,34
ZHANG JING LONG,Company N/A,B,B,-,85,96
JUNG JOHAN,Company N/A,C,C,Withdrew from the show,-,-
